id,name,price,category,image
0Z0305,Shampoo 2 En 1 Vinagre De Manzana Ole,39900,Cabello,images/0Z0305.jpg
0Z0306,Acondicionador Algodon Y Coco Ole,37900,Cabello,images/0Z0306.jpg
0Z0308,Termoprotector Desenrredante Ole,44900,Cabello,images/0Z0308.jpg
0Z0309,Tratamiento Pulpa De Coco Ole,40000,Cabello,images/0Z0309.jpg
0Z0311,Tratamiento Proteina De Arroz Ole,40000,Cabello,images/0Z0311.jpg
0Z0314,Oleo Frutal Bifasico De Uchuva Ole,34900,Cabello,images/0Z0314.jpg
0Z0315,Tonico Capilar Aguita De Arroz Ole,42000,Cabello,images/0Z0315.jpg
0Z0320,Stick Con Color Capilar Cera En Barra Fijad..,37000,Cabello,images/0Z0320.jpg
0Z0323,Anti-Humedad 60Ml Ole,35000,Cabello,images/0Z0323.jpg
0Z0324,Pestañina Capilar Antifrizz Emergency Ole,25900,Cabello,images/0Z0324.jpg
0Z0325,Frizz Emergency Colapsible Ole,28900,Cabello,images/0Z0325.jpg
0Z0327,Perfume Capilar Ole 25Ml,2600,Cabello,images/0Z0327.jpg
0Z0328,Tratamiento Reparador De Frutas Ole 300Ml Cabello,40900,Cabello,images/0Z0328.jpg
0Z0329,Mini Termoprotector 110Ml Ole,22900,Cabello,images/0Z0329.jpg
0Z0330,Perfume Capilar Con Olor A Galleta Colecciã..,24900,Cabello,images/0Z0330.jpg
0Z0338,Acondicionador De Arroz Hidratacion Y Creci..,37900,Cabello,images/0Z0338.jpg
0Z0339,Acondicionador Antigrasa Con Jengibre Ole,41000,Cabello,images/0Z0339.jpg
170303,L Tinte Capilar Permanente Cor Intensa Garnier,16000,Cabello,images/170303.jpg
170304,Mascarilla Hair Food Coco Reparación Garnier,40300,Cabello,images/170304.jpg
170306,Tinte Nutrisse Oleos Garnier,35000,Cabello,images/170306.jpg
170307,Mascarilla Capilar Hair Food Aguacate Nutri..,42300,Cabello,images/170307.jpg
350301,Tubo Rizador Sin Calor Generico,18000,Cabello,images/350301.jpg
350305,Got2B Glued Gel Cejas - Cabello X35 G Amari..,28000,Cabello,images/350305.jpg
71039J,Gorro Baño Comfort Lula Gd-01,2500,Cabello,images/71039J.jpg
